2026-07-19 20:24:55.265 IST [19292] LOG:  checkpoint complete: wrote 40 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=4.369 s, sync=0.066 s, total=4.487 s; sync files=36, longest=0.004 s, average=0.002 s; distance=185 kB, estimate=5409 kB; lsn=0/48090E0, redo lsn=0/4809088
2026-07-19 20:30:22.774 IST [31664] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-07-19 20:30:23.684 IST [19292] LOG:  checkpoint starting: immediate force wait
2026-07-19 20:30:23.700 IST [19292] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.006 s, total=0.020 s; sync files=5, longest=0.002 s, average=0.002 s; distance=5816 kB, estimate=5816 kB; lsn=0/4DB72B8, redo lsn=0/4DB7260
2026-07-19 20:30:24.481 IST [23100] FATAL:  terminating connection due to administrator command
2026-07-19 20:30:24.589 IST [19292] LOG:  checkpoint starting: immediate force wait
2026-07-19 20:30:24.647 IST [19292] LOG:  checkpoint complete: wrote 12 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.005 s, sync=0.029 s, total=0.059 s; sync files=12, longest=0.005 s, average=0.003 s; distance=5849 kB, estimate=5849 kB; lsn=0/536D738, redo lsn=0/536D6E0
2026-07-19 20:30:25.390 IST [19292] LOG:  checkpoint starting: immediate force wait
2026-07-19 20:30:25.420 IST [19292] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.004 s, total=0.030 s; sync files=4, longest=0.002 s, average=0.001 s; distance=5815 kB, estimate=5845 kB; lsn=0/591B6E0, redo lsn=0/591B688
2026-07-19 20:30:26.648 IST [19292] LOG:  checkpoint starting: immediate force wait
2026-07-19 20:30:26.666 IST [19292] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.004 s, total=0.018 s; sync files=4, longest=0.002 s, average=0.001 s; distance=5820 kB, estimate=5843 kB; lsn=0/5ECA9D8, redo lsn=0/5ECA980
2026-07-19 20:30:26.772 IST [29152] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-07-19 20:35:26.733 IST [19292] LOG:  checkpoint starting: time
2026-07-19 20:35:28.051 IST [19292] LOG:  checkpoint complete: wrote 11 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.207 s, sync=0.071 s, total=1.327 s; sync files=11, longest=0.021 s, average=0.007 s; distance=54 kB, estimate=5264 kB; lsn=0/5ED8240, redo lsn=0/5ED81E8
